"Agency1","Agency2","Agency3","Intrin1","Intrin2","Intrin3","Extrin1","Extrin2","Extrin3","PosAFF1","PosAFF2","PosAFF3","NegAFF1","NegAFF2","NegAFF3","Sex","gender","ethnicity","race"
2.3333,2,2.1667,2.5,2.5,3,1.5,1.3333,1.6667,3,3.2125,2.5,1.5,2,1.5,1,"male","White","White"
2.9206,3.0057,3.1725,2.6341,3.5,2.5,2.5046,3.3333,3.5,3.5,3.5,2.5,3,2.7502,2,1,"male","White","White"
2.6667,3,2.8333,4,4,4,1.5,1.5,1.1667,3.5,3,3.5,2,2,2,1,"male","White","White"
1.8333,2.2269,2.3333,2.5,3,2,1.3333,1.3333,1.8333,3.3114,2.8824,2.8838,1.5767,1.5766,1.6065,1,"male","Hispanic","Nonwhite"
2.8333,3,3,4,4,4,1.1667,1.1667,1,4,4,4,1,1,1,1,"male","Black","Nonwhite"
2.8333,3.1667,3.5452,4,4,4,2.3978,1.6667,2.8333,4,4,4,1,1,1,1,"male","White","White"
2.9691,2.6178,2.562,2,2.6495,2.5,1.1667,1.6439,1.8333,3,3,2.5,1.5,1,1,1,"male","White","White"
2.1667,2,2,2.5,2,2,1.5,1.5,1.8333,3,3,3,1.5,1,1.5,1,"male","White","White"
2.6667,2.8333,2.8333,3.5,3,3,1.1667,1.1667,1.3333,2.9895,2.5,3,1.5,2,1.5,1,"male","White","White"
2.6667,2.6667,2.8333,3,3,3,1.8333,2.2553,2.3333,3.5,3,3,1,1,1,1,"male","White","White"
2.1985,2.4252,2.2103,2.3304,1.5,2.3241,1.7603,1.5,1.3229,2.3396,1.719,1.5218,1.7493,1.5208,1.972,1,"male","Black","Nonwhite"
2.1431,2.1412,2.2817,2,2.55,2,1.3333,1.404,2,3.098,3.0056,2.9851,1.6567,1.6765,1.5021,1,"male","White","White"
2.5286,2.4905,2.5099,2.9169,3.0225,2.7827,1.7432,1.6877,1.8103,3.0707,2.9664,3.0615,1.6909,1.4495,1.5441,1,"male","Asian","Nonwhite"
2.8333,2.5,2.8333,2.5,3.5,3,2.3333,2.1667,2.6667,3.5,3.5,4,2.5,2,2,1,"male","White","White"
2.2328,2.3177,2.9109,2,2,2.2763,1.1667,1.5,1.2473,3.0087,2.9116,3.0898,1.6228,1.4058,1.618,1,"male","White","White"
2.5,3,2.6667,3,4,3.5,2.2395,1.6667,1.6667,3,3,3.5,1,1,1,1,"male","Asian","Nonwhite"
2.5,2.6667,2.3333,2.5,1.5,2.5439,1,1.3333,1.1667,4,4,4,1,1.5,1,1,"male","Hispanic","Nonwhite"
2.3333,2.5,2.5,2,2,3.5,1.3575,1.569,1.5,3,2,2,1.5,2,2,1,"male","Asian","Nonwhite"
