Urban Area,PopGroup,Year,Population,PopRank,Peak Travelers,Commuters,Freeway Daily VMT,Freeway Lane miles,Arterial Daily VMT,Arternial Lane-miles,Transit Passenger Miles,Transit Passenger Trips,Value of Time,Commercial Value of Time,Avg. State Gas Cost,Avg. State Diesel Cost,% Peak VMT Congested,% Lane-miles Congested,Number of Rush Hours,Gallons Excess Fuel,Gallons Excess Ranged,Gallons Excess per Commuter,Gallons per Rank,Total Hours of Delay,Total Delay Rank,Delay per Commuter,Rank,Travel Time Index,TTI Rank,Commuter Stress Index,CSI Rank,Freeway Planning Time Index 95,Freeway Planning Time Index 95 Rank,Freeway Planning Time Index 80,Freeway Planning Time Index 80 Rank,Excess CO2 lbs,Excess CO2 Rank,Excess CO2 per Peak Commuter,Excess CO2 per Peak Commuter Rank,Truck Congestion Cost,Truck Commodity Value,Annual Congestion Cost,Annual Congestion Cost Rank,Congestion Cost per Commuter,Congestion Cost per Commuter Rank,Delay Reduced due to Operations Treatments,Delay Reduced due to Operations per Commuter,Wasted Fuel Saved by Operations Treatments,Congestion Cost Saved by Operations Treatments,Delay Reduced due to Transit,Delay Reduced due to Transit per Commuter,Fuel Saved by Transit,Congestion Cost Saved by Transit,Roadway Congestion Index,Presence of Urban Rail in 2011,Size Category of Urban Rail in 2011
Philadelphia PA-NJ-DE-MD,Vlg,1994,4640,4,2083,1660,24045,2045,36300,6435,1440.1,343,11.06,62.23,1.04,1.15,44,44,NA,33877,11,12,42,78098,11,26,44,1.16,39,NA,NA,NA,NA,NA,NA,682,11,242,45,NA,NA,1075,11,472,49,NA,NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA
Phoenix-Mesa AZ,Vlg,1994,2130,16,952,857,10600,740,26400,5040,146.4,35.3,11.06,62.23,1.19,1.21,48,34,NA,17221,18,14,29,33961,21,27,37,1.1,70,NA,NA,NA,NA,NA,NA,352,15,277,28,NA,NA,533,18,561,28,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA
Pittsburgh PA,Lrg,1994,1770,21,800,743,9420,1170,17275,3575,330.7,77.1,11.06,62.23,1.04,1.15,22,33,NA,17356,16,16,22,41461,16,39,11,1.27,5,NA,NA,NA,NA,NA,NA,349,16,310,23,NA,NA,555,16,667,15,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA
Portland OR-WA,Lrg,1994,1305,28,574,532,10630,685,10485,2140,258.9,63.8,11.06,62.23,1.24,1.26,50,40,NA,11681,29,15,26,26695,28,32,20,1.19,22,NA,NA,NA,NA,NA,NA,235,28,287,27,NA,NA,370,28,593,21,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA
Poughkeepsie-Newburgh NY,Med,1994,370,75,178,166,3570,315,2965,580,8.8,1.1,11.06,62.23,1.15,1.07,18,28,NA,1997,79,6,84,4177,79,17,72,1.09,75,NA,NA,NA,NA,NA,NA,40,76,125,82,NA,NA,58,78,283,79,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA
Providence RI-MA,Lrg,1994,1135,33,547,508,8325,810,6720,1835,82.7,15.6,11.06,62.23,1.09,1.12,21,30,NA,5784,49,9,64,11375,46,14,82,1.12,64,NA,NA,NA,NA,NA,NA,115,48,168,68,NA,NA,153,47,266,80,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA
Provo-Orem UT,Sml,1994,360,77,169,159,2825,190,2240,350,0,0,11.06,62.23,1.11,1.17,20,24,NA,1323,87,5,88,3755,80,16,76,1.05,91,NA,NA,NA,NA,NA,NA,26,85,102,89,NA,NA,49,82,240,84,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA
Raleigh-Durham NC,Lrg,1994,590,57,279,259,5530,470,7190,1480,33.1,9.6,11.06,62.23,1.02,1.08,32,38,NA,3237,73,7,76,6958,65,18,68,1.1,70,NA,NA,NA,NA,NA,NA,65,71,142,78,NA,NA,97,67,323,71,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
Richmond VA,Med,1994,705,48,338,317,8315,700,6015,1465,39.1,16.9,11.06,62.23,1.03,1.09,23,29,NA,4366,57,7,76,9684,54,20,61,1.11,69,NA,NA,NA,NA,NA,NA,87,57,140,80,NA,NA,128,54,344,65,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA
Riverside-San Bernardino CA,Lrg,1994,1410,25,647,601,14015,855,11150,2455,86.2,13.4,11.06,62.23,1.16,1.19,50,28,NA,7101,41,7,76,16877,38,18,68,1.1,70,NA,NA,NA,NA,NA,NA,113,50,119,86,NA,NA,241,37,346,64,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA
Rochester NY,Med,1994,620,54,298,279,5020,495,3245,1340,43.2,13.8,11.06,62.23,1.15,1.07,15,19,NA,3680,67,13,36,8416,59,19,64,1.13,56,NA,NA,NA,NA,NA,NA,73,66,257,35,NA,NA,112,62,341,68,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA
Sacramento CA,Lrg,1994,1220,31,554,501,10645,700,10675,1845,102.9,23.8,11.06,62.23,1.16,1.19,63,51,NA,10506,33,13,36,25403,30,32,20,1.17,33,NA,NA,NA,NA,NA,NA,163,38,204,57,NA,NA,342,30,569,27,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA
Salem OR,Sml,1994,175,98,82,77,970,95,1570,300,10.1,3.2,11.06,62.23,1.24,1.26,22,26,NA,1648,85,12,42,3255,84,27,37,1.14,49,NA,NA,NA,NA,NA,NA,33,83,242,45,NA,NA,48,83,480,48,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
Salt Lake City UT,Lrg,1994,825,42,396,371,6440,475,6980,1120,118.3,24.8,11.06,62.23,1.11,1.17,49,46,NA,6037,46,11,53,15956,41,27,37,1.2,15,NA,NA,NA,NA,NA,NA,121,45,217,53,NA,NA,208,42,497,40,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA
San Antonio TX,Lrg,1994,1210,32,572,532,12200,1055,9040,2090,179.5,47.3,11.06,62.23,1.03,1.09,26,25,NA,4144,62,5,88,9980,52,12,86,1.07,81,NA,NA,NA,NA,NA,NA,83,61,106,88,NA,NA,134,53,227,86,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA
San Diego CA,Vlg,1994,2550,13,1140,1026,28000,1690,18520,2825,327,68.6,11.06,62.23,1.16,1.19,69,54,NA,14184,23,8,70,36499,19,22,54,1.12,64,NA,NA,NA,NA,NA,NA,204,34,119,86,NA,NA,505,20,405,55,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA,NA
San Francisco-Oakland CA,Vlg,1994,3820,7,1723,1537,40550,2210,28445,4720,2034.9,407.1,11.06,62.23,1.16,1.19,76,53,NA,61125,4,26,3,142509,3,58,3,1.22,10,NA,NA,NA,NA,NA,NA,1230,3,520,2,NA,NA,1928,4,1011,4,NA,NA,NA,NA,NA,NA,NA,NA,1.29,NA,NA
San Jose CA,Lrg,1994,1540,24,728,677,16660,1050,14870,2225,190.5,45.4,11.06,62.23,1.16,1.19,56,40,NA,18406,15,18,15,43126,15,40,10,1.2,15,NA,NA,NA,NA,NA,NA,278,22,265,32,NA,NA,575,15,725,13,NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,NA
San Juan PR,Lrg,1994,2010,18,951,883,6800,590,8850,1620,100,77,11.06,62.23,1.52,1.7,47,49,NA,12219,28,9,64,21694,32,17,72,1.17,33,NA,NA,NA,NA,NA,NA,246,27,177,66,NA,NA,297,32,319,72,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA
Sarasota-Bradenton FL,Med,1994,490,67,235,220,400,50,4450,885,9.7,2.1,11.06,62.23,1.08,1.17,43,47,NA,3999,64,14,29,5932,70,18,68,1.13,56,NA,NA,NA,NA,NA,NA,81,62,262,33,NA,NA,82,71,311,73,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Seattle WA,Vlg,1994,2490,14,1160,1048,26075,1590,20600,3265,761.1,118.3,11.06,62.23,1.16,1.2,68,55,NA,39897,9,24,5,82824,9,52,4,1.28,4,NA,NA,NA,NA,NA,NA,808,9,497,3,NA,NA,1190,8,1003,5,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,NA
Spokane WA-ID,Sml,1994,315,83,148,139,1230,125,3980,995,36.6,8,11.06,62.23,1.16,1.2,18,24,NA,4251,61,16,22,7768,63,34,18,1.17,33,NA,NA,NA,NA,NA,NA,86,59,320,21,NA,NA,115,60,644,17,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA
Springfield MA-CT,Med,1994,590,57,283,265,3660,385,5325,1275,29.3,10.9,11.06,62.23,1.07,1.12,16,24,NA,4357,58,11,53,8811,56,23,53,1.13,56,NA,NA,NA,NA,NA,NA,87,57,219,52,NA,NA,118,58,366,62,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA
St. Louis MO-IL,Lrg,1994,1990,19,941,874,22460,1635,15100,2980,221.8,49.4,11.06,62.23,0.95,1.04,44,37,NA,21395,14,17,18,46400,14,35,16,1.24,7,NA,NA,NA,NA,NA,NA,433,14,349,17,NA,NA,662,14,666,16,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA
Stockton CA,Sml,1994,300,85,141,132,2155,175,1925,400,12,2.7,11.06,62.23,1.16,1.19,20,29,NA,954,92,5,88,1741,93,8,95,1.15,45,NA,NA,NA,NA,NA,NA,13,94,66,92,NA,NA,29,91,178,93,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA
Tampa-St. Petersburg FL,Lrg,1994,1780,20,842,782,7165,510,15405,2200,91.6,19.2,11.06,62.23,1.08,1.17,62,63,NA,16031,20,13,36,34500,20,28,32,1.22,10,NA,NA,NA,NA,NA,NA,322,19,261,34,NA,NA,473,22,517,36,NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,NA
Toledo OH-MI,Med,1994,490,67,235,220,3295,320,3560,790,23.8,5,11.06,62.23,1.08,1.17,19,26,NA,3247,72,8,70,6687,68,20,61,1.13,56,NA,NA,NA,NA,NA,NA,65,71,156,73,NA,NA,93,68,350,63,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA
Tucson AZ,Med,1994,605,56,290,272,1365,135,7725,1550,61.6,17.6,11.06,62.23,1.19,1.21,37,40,NA,5801,47,14,29,7986,61,20,61,1.12,64,NA,NA,NA,NA,NA,NA,119,46,292,25,NA,NA,127,55,393,58,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA
Tulsa OK,Med,1994,645,50,310,290,5265,525,7380,1715,18.3,3.1,11.06,62.23,0.97,1.01,18,21,NA,3656,68,7,76,6517,69,16,76,1.06,87,NA,NA,NA,NA,NA,NA,73,66,148,75,NA,NA,93,68,286,77,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA
Virginia Beach VA,Lrg,1994,1400,26,662,615,9550,810,12115,2600,68,14.3,11.06,62.23,1.03,1.09,38,34,NA,12454,27,13,36,32865,24,35,16,1.2,15,NA,NA,NA,NA,NA,NA,249,26,248,38,NA,NA,432,24,630,19,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA
Washington DC-VA-MD,Vlg,1994,3480,9,1743,1496,31565,1915,34080,5270,1594.8,342.7,11.06,62.23,1.1,1.22,70,61,NA,59750,5,29,1,128595,5,61,2,1.26,6,NA,NA,NA,NA,NA,NA,1196,4,571,1,NA,NA,1730,5,1116,2,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA,NA
Wichita KS,Med,1994,385,74,185,173,2230,350,4300,1175,10.7,2.4,11.06,62.23,1.01,1.13,7,13,NA,3505,70,12,42,4429,77,16,76,1.08,77,NA,NA,NA,NA,NA,NA,70,69,248,38,NA,NA,64,76,287,76,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA
Winston-Salem NC,Sml,1994,260,90,122,115,3330,310,1190,275,18.7,3.6,11.06,62.23,1.02,1.08,7,7,NA,763,96,6,84,1466,94,8,95,1.05,91,NA,NA,NA,NA,NA,NA,16,91,121,84,NA,NA,21,94,153,96,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA
Worcester MA-CT,Sml,1994,390,73,183,172,4225,385,3900,955,12,5,11.06,62.23,1.07,1.12,19,30,NA,4287,60,13,36,8435,58,29,29,1.15,45,NA,NA,NA,NA,NA,NA,86,59,274,31,NA,NA,116,59,516,37,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA
Akron OH,Med,1993,530,61,251,235,4580,415,3520,1075,25.9,7.5,10.78,60.84,1.09,1.19,20,32,NA,3767,62,10,56,8405,55,22,52,1.14,44,NA,NA,NA,NA,NA,NA,75,61,196,57,NA,NA,113,56,386,55,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA
Albany NY,Med,1993,490,66,232,218,4520,520,3750,1130,55.1,12,10.78,60.84,1.21,1.13,11,22,NA,2910,71,9,61,4810,71,15,75,1.08,75,NA,NA,NA,NA,NA,NA,59,70,189,59,NA,NA,68,72,273,74,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA
Albuquerque NM,Med,1993,530,61,251,235,2940,235,6300,1285,21.5,6.5,10.78,60.84,1.21,1.2,39,40,NA,4624,52,15,23,9582,49,26,35,1.13,49,NA,NA,NA,NA,NA,NA,53,73,168,65,NA,NA,133,49,471,37,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA
Allentown-Bethlehem PA-NJ,Med,1993,530,61,251,235,2940,275,4020,740,16.3,4.3,10.78,60.84,1.09,1.21,32,37,NA,3862,60,10,56,8451,54,23,48,1.17,25,NA,NA,NA,NA,NA,NA,78,57,216,46,NA,NA,118,53,416,50,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA
Anchorage AK,Sml,1993,240,92,111,104,1170,175,1905,350,15,3.1,10.78,60.84,1.31,1.28,16,23,NA,2051,77,12,36,3953,79,22,52,1.18,18,NA,NA,NA,NA,NA,NA,36,77,214,50,NA,NA,54,77,363,59,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
Atlanta GA,Vlg,1993,3060,11,1346,1212,30675,2120,28500,4250,582,140.7,10.78,60.84,0.97,1.08,56,48,NA,30825,11,17,15,73160,11,40,7,1.18,18,NA,NA,NA,NA,NA,NA,623,11,342,16,NA,NA,995,10,741,7,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA
Austin TX,Lrg,1993,720,46,335,311,6500,540,4600,960,90.3,26.2,10.78,60.84,1.1,1.17,38,40,NA,5111,50,12,36,10150,48,21,56,1.17,25,NA,NA,NA,NA,NA,NA,103,50,232,41,NA,NA,136,48,407,53,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
Bakersfield CA,Med,1993,335,80,159,149,1500,160,3330,950,18.2,5.9,10.78,60.84,1.23,1.26,12,14,NA,596,97,3,96,808,99,4,100,1.05,90,NA,NA,NA,NA,NA,NA,12,92,58,94,NA,NA,13,99,71,101,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA
Baltimore MD,Lrg,1993,2110,16,981,911,18030,1375,16400,3115,532.7,105.8,10.78,60.84,1.14,1.22,46,43,NA,16739,16,12,36,37404,17,27,28,1.13,49,NA,NA,NA,NA,NA,NA,338,15,248,32,NA,NA,510,17,497,31,NA,NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA
Baton Rouge LA,Med,1993,395,72,187,175,2520,185,4800,1130,11,4.3,10.78,60.84,1.12,1.18,26,28,NA,5561,47,20,8,6084,69,24,43,1.12,62,NA,NA,NA,NA,NA,NA,114,46,407,7,NA,NA,97,63,562,19,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Beaumont TX,Sml,1993,215,95,100,93,1780,195,1720,565,7,1.9,10.78,60.84,1.1,1.17,8,12,NA,907,92,6,80,1437,95,10,91,1.04,96,NA,NA,NA,NA,NA,NA,18,90,123,83,NA,NA,20,94,182,91,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA
Birmingham AL,Med,1993,645,50,306,286,6750,670,6505,1410,32.4,6.1,10.78,60.84,1.08,1.11,21,25,NA,4381,54,11,44,8484,53,19,61,1.09,70,NA,NA,NA,NA,NA,NA,88,53,213,51,NA,NA,116,55,379,56,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA
Boise ID,Sml,1993,180,97,83,78,790,75,2145,515,4.2,1.2,10.78,60.84,1.13,1.16,18,31,NA,560,98,5,86,1088,97,8,95,1.04,96,NA,NA,NA,NA,NA,NA,9,97,79,90,NA,NA,14,97,152,96,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA
Boston MA-NH-RI,Vlg,1993,3640,8,1751,1576,29500,2015,24500,4640,1288.1,337.2,10.78,60.84,1.15,1.2,53,40,NA,43690,7,20,8,86238,7,38,11,1.3,3,NA,NA,NA,NA,NA,NA,878,7,399,10,NA,NA,1185,7,713,8,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA
Boulder CO,Sml,1993,125,101,58,54,390,50,1070,185,0,0,10.78,60.84,1.21,1.25,24,33,NA,1717,80,21,6,2554,87,30,18,1.15,37,NA,NA,NA,NA,NA,NA,35,78,407,7,NA,NA,34,87,531,24,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
Bridgeport-Stamford CT-NY,Med,1993,720,46,341,320,7480,525,4505,1145,20.3,8.8,10.78,60.84,1.23,1.18,47,38,NA,6666,42,13,30,14065,40,29,22,1.15,37,NA,NA,NA,NA,NA,NA,134,41,259,29,NA,NA,176,41,528,25,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA
Brownsville TX,Sml,1993,130,99,60,56,270,30,705,200,14.9,1.8,10.78,60.84,1.1,1.17,10,18,NA,263,100,0,100,436,100,5,98,1.13,49,NA,NA,NA,NA,NA,NA,5,99,0,100,NA,NA,7,101,98,99,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA
Buffalo NY,Lrg,1993,1070,35,429,399,5580,650,6200,2170,88.5,31.4,10.78,60.84,1.21,1.13,13,15,NA,5213,49,7,72,10949,46,17,66,1.12,62,NA,NA,NA,NA,NA,NA,105,49,143,75,NA,NA,150,45,281,72,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA
Cape Coral FL,Sml,1993,250,90,116,108,335,40,2775,500,9.7,1.8,10.78,60.84,1.13,1.22,31,32,NA,3020,70,18,12,4453,73,27,28,1.18,18,NA,NA,NA,NA,NA,NA,61,69,371,12,NA,NA,63,73,489,32,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA
Charleston-North Charleston SC,Med,1993,415,71,197,184,2140,195,4720,760,18,3.7,10.78,60.84,1,1.08,40,40,NA,3691,64,14,26,6917,63,26,35,1.14,44,NA,NA,NA,NA,NA,NA,74,63,275,25,NA,NA,94,65,473,36,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA
Charlotte NC-SC,Lrg,1993,620,52,288,268,3700,305,4795,1080,47.7,11.2,10.78,60.84,1.07,1.13,37,36,NA,4299,55,10,56,6822,64,17,66,1.13,49,NA,NA,NA,NA,NA,NA,87,54,202,54,NA,NA,97,63,331,65,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA
Chicago IL-IN,Vlg,1993,7600,3,3329,2800,40965,2600,40525,11600,2609.6,538.4,10.78,60.84,1.16,1.23,61,55,NA,63244,4,13,30,136638,4,29,22,1.17,25,NA,NA,NA,NA,NA,NA,1155,4,240,39,NA,NA,1984,4,576,17,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,NA
Cincinnati OH-KY-IN,Lrg,1993,1250,29,590,531,12560,935,7485,2050,148.3,30.1,10.78,60.84,1.09,1.19,43,42,NA,13977,21,15,23,30232,21,33,15,1.17,25,NA,NA,NA,NA,NA,NA,283,19,302,21,NA,NA,408,22,619,15,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Cleveland OH,Lrg,1993,1765,21,826,741,14905,1210,8785,2015,239.1,54.5,10.78,60.84,1.09,1.19,27,28,NA,11994,25,12,36,22699,31,19,61,1.18,18,NA,NA,NA,NA,NA,NA,240,24,248,32,NA,NA,299,31,351,61,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
Colorado Springs CO,Med,1993,355,76,168,158,1890,230,3310,915,15.2,4.1,10.78,60.84,1.21,1.25,16,20,NA,1493,85,6,80,2925,84,12,84,1.06,84,NA,NA,NA,NA,NA,NA,30,82,117,85,NA,NA,38,84,212,84,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA
Columbia SC,Sml,1993,340,79,157,148,3135,340,3800,805,11.5,3.2,10.78,60.84,1,1.08,14,28,NA,1616,81,7,72,3169,81,13,81,1.05,90,NA,NA,NA,NA,NA,NA,33,79,144,74,NA,NA,44,81,246,81,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA
Columbus OH,Lrg,1993,985,36,458,426,10060,800,6825,1305,88.4,16.7,10.78,60.84,1.09,1.19,38,35,NA,7327,40,11,44,16265,36,24,43,1.11,68,NA,NA,NA,NA,NA,NA,147,38,209,52,NA,NA,219,37,469,38,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA
Corpus Christi TX,Sml,1993,290,86,134,126,2400,285,2410,630,24.8,4.7,10.78,60.84,1.1,1.17,12,17,NA,813,94,3,96,1796,92,10,91,1.02,101,NA,NA,NA,NA,NA,NA,5,99,19,99,NA,NA,24,93,162,93,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA
Dallas-Fort Worth-Arlington TX,Vlg,1993,3370,10,1682,1598,38500,2820,33035,7340,283.2,62,10.78,60.84,1.1,1.17,36,26,NA,23771,12,11,44,56878,12,25,40,1.14,44,NA,NA,NA,NA,NA,NA,478,12,216,46,NA,NA,760,12,466,39,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA
Dayton OH,Med,1993,620,52,294,275,4845,450,5710,995,43.4,11.7,10.78,60.84,1.09,1.19,33,37,NA,7174,41,16,20,12280,44,27,28,1.13,49,NA,NA,NA,NA,NA,NA,145,39,313,19,NA,NA,166,44,482,35,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
Denver-Aurora CO,Lrg,1993,1610,23,774,732,12950,1000,15170,3040,237.3,60.4,10.78,60.84,1.21,1.25,45,41,NA,12285,23,11,44,27460,24,23,48,1.17,25,NA,NA,NA,NA,NA,NA,247,23,215,48,NA,NA,376,24,441,43,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA
Detroit MI,Vlg,1993,4010,6,1837,1723,29000,1770,42000,7950,359,72,10.78,60.84,1.1,1.18,59,46,NA,49604,6,18,12,112695,6,41,6,1.23,7,NA,NA,NA,NA,NA,NA,1000,6,370,13,NA,NA,1570,6,773,6,NA,NA,NA,NA,NA,NA,NA,NA,1.13,NA,NA
El Paso TX-NM,Med,1993,570,58,270,253,3255,270,4460,1260,80.2,15.3,10.78,60.84,1.1,1.17,24,23,NA,4005,57,8,69,6177,67,16,71,1.12,62,NA,NA,NA,NA,NA,NA,81,56,164,66,NA,NA,89,66,293,70,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA
Eugene OR,Sml,1993,195,96,90,85,1040,110,1705,350,29.2,6.7,10.78,60.84,1.26,1.29,12,15,NA,615,96,3,96,1403,96,11,87,1.08,75,NA,NA,NA,NA,NA,NA,12,92,57,95,NA,NA,20,94,187,89,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA
Fresno CA,Med,1993,500,65,237,222,1710,160,5440,1230,27.3,8.3,10.78,60.84,1.23,1.26,30,33,NA,1731,79,5,86,4770,72,13,81,1.08,75,NA,NA,NA,NA,NA,NA,22,87,56,96,NA,NA,69,71,262,77,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA
Grand Rapids MI,Med,1993,460,70,218,204,3490,295,5670,1285,18,3.9,10.78,60.84,1.1,1.18,29,29,NA,2814,73,8,69,6094,68,20,58,1.09,70,NA,NA,NA,NA,NA,NA,57,72,161,67,NA,NA,86,68,363,59,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA
Greensboro NC,Sml,1993,235,93,109,102,2490,350,2330,515,3,1,10.78,60.84,1.07,1.13,11,12,NA,1237,87,9,61,2886,85,18,64,1.07,81,NA,NA,NA,NA,NA,NA,25,85,182,61,NA,NA,39,83,324,66,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA
Hartford CT,Med,1993,835,41,395,370,8480,765,4350,1230,78.1,21.6,10.78,60.84,1.23,1.18,23,31,NA,5868,45,9,61,10959,45,19,61,1.13,49,NA,NA,NA,NA,NA,NA,117,45,184,60,NA,NA,144,46,341,62,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA
Honolulu HI,Med,1993,690,49,327,306,5505,390,3070,465,357.5,77.4,10.78,60.84,1.5,1.68,51,49,NA,10255,30,24,4,17027,35,39,9,1.32,2,NA,NA,NA,NA,NA,NA,204,30,481,4,NA,NA,220,36,704,10,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA
Houston TX,Vlg,1993,2960,12,1601,1492,34000,2230,25260,6320,487.7,88,10.78,60.84,1.1,1.17,49,35,NA,21393,13,11,44,48062,13,25,40,1.17,25,NA,NA,NA,NA,NA,NA,430,13,228,42,NA,NA,640,13,448,41,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA
Indianapolis IN,Lrg,1993,960,38,446,415,9290,700,9920,1515,49.7,11.1,10.78,60.84,1.06,1.16,55,52,NA,12248,24,19,11,28689,23,46,5,1.15,37,NA,NA,NA,NA,NA,NA,249,22,390,11,NA,NA,415,21,898,5,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA
Indio-Cathedral City-Palm Springs CA,Med,1993,230,94,109,102,525,55,2390,505,21.3,3,10.78,60.84,1.23,1.26,31,37,NA,2311,75,17,15,3714,80,22,52,1.06,84,NA,NA,NA,NA,NA,NA,21,88,150,70,NA,NA,54,77,417,49,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
Jackson MS,Sml,1993,350,77,162,152,3095,305,4320,1130,4.5,1,10.78,60.84,1.06,1.12,8,13,NA,1390,86,6,80,2139,90,8,95,1.05,90,NA,NA,NA,NA,NA,NA,29,83,133,79,NA,NA,31,89,148,97,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA
Jacksonville FL,Lrg,1993,770,44,358,333,6065,500,8090,1420,48.3,10,10.78,60.84,1.13,1.22,49,50,NA,8583,35,17,15,15984,38,30,18,1.22,9,NA,NA,NA,NA,NA,NA,172,34,345,15,NA,NA,222,35,535,23,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA
Kansas City MO-KS,Lrg,1993,1300,27,605,562,14900,1605,12050,1915,74.1,15.7,10.78,60.84,0.98,1.08,19,20,NA,9876,31,10,56,26000,26,29,22,1.15,37,NA,NA,NA,NA,NA,NA,200,31,200,55,NA,NA,350,27,539,22,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA
Knoxville TN,Med,1993,320,81,148,139,3400,260,4090,740,7.1,2.6,10.78,60.84,1.07,1.14,29,30,NA,5246,48,21,6,7673,59,35,13,1.21,12,NA,NA,NA,NA,NA,NA,106,48,423,6,NA,NA,109,57,653,12,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA
Lancaster-Palmdale CA,Med,1993,260,89,123,115,700,75,2560,470,17.6,1.2,10.78,60.84,1.23,1.26,18,18,NA,1090,89,4,92,2784,86,15,75,1.05,90,NA,NA,NA,NA,NA,NA,8,98,34,98,NA,NA,36,86,258,79,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA
